#Distance(A) Planar-Average-Potential(eV)/Densitiy(e/A)
  0.0000           -14.61577
  0.0951           -14.33243
  0.1901           -13.50932
  0.2852           -12.18598
  0.3803           -10.45486
  0.4754            -8.42892
  0.5704            -6.27011
  0.6655            -4.13200
  0.7606            -2.18464
  0.8556            -0.62211
  0.9507             0.34755
  1.0458             0.63697
  1.1409             0.32577
  1.2359            -0.65723
  1.3310            -2.24035
  1.4261            -4.21263
  1.5212            -6.37735
  1.6162            -8.56057
  1.7113           -10.61126
  1.8064           -12.36950
  1.9014           -13.72318
  1.9965           -14.58191
  2.0916           -14.90306
  2.1867           -14.66251
  2.2817           -13.87995
  2.3768           -12.59452
  2.4719           -10.89147
  2.5669            -8.88064
  2.6620            -6.71740
  2.7571            -4.55783
  2.8522            -2.56867
  2.9472            -0.94621
  3.0423             0.10536
  3.1374             0.46756
  3.2324             0.21132
  3.3275            -0.72640
  3.4226            -2.27057
  3.5177            -4.21265
  3.6127            -6.35957
  3.7078            -8.53325
  3.8029           -10.58442
  3.8979           -12.34865
  3.9930           -13.71422
  4.0881           -14.58632
  4.1832           -14.92369
  4.2782           -14.69845
  4.3733           -13.93238
  4.4684           -12.66036
  4.5635           -10.96988
  4.6585            -8.96557
  4.7536            -6.80646
  4.8487            -4.64381
  4.9437            -2.65178
  5.0388            -1.01547
  5.1339             0.07235
  5.2290             0.42896
  5.3240             0.07988
  5.4191            -1.00048
  5.5142            -2.61591
  5.6092            -4.58582
  5.7043            -6.72133
  5.7994            -8.85592
  5.8945           -10.83190
  5.9895           -12.49188
  6.0846           -13.72785
  6.1797           -14.45378
  6.2747           -14.63584
  6.3698           -14.25541
  6.4649           -13.34394
  6.5600           -11.94268
  6.6550           -10.14650
  6.7501            -8.05654
  6.8452            -5.82689
  6.9402            -3.57772
  7.0353            -1.47213
  7.1304             0.33387
  7.2255             1.57772
  7.3205             2.28377
  7.4156             2.74722
  7.5107             3.15905
  7.6057             3.52451
  7.7008             3.80146
  7.7959             4.02426
  7.8910             4.19449
  7.9860             4.33114
  8.0811             4.43558
  8.1762             4.51952
  8.2713             4.58354
  8.3663             4.63513
  8.4614             4.67440
  8.5565             4.70617
  8.6515             4.73029
  8.7466             4.74987
  8.8417             4.76472
  8.9368             4.77678
  9.0318             4.78596
  9.1269             4.79339
  9.2220             4.79911
  9.3170             4.80368
  9.4121             4.80729
  9.5072             4.81009
  9.6023             4.81243
  9.6973             4.81414
  9.7924             4.81571
  9.8875             4.81674
  9.9825             4.81785
 10.0776             4.81846
 10.1727             4.81931
 10.2678             4.81966
 10.3628             4.82036
 10.4579             4.82054
 10.5530             4.82117
 10.6480             4.82124
 10.7431             4.82183
 10.8382             4.82183
 10.9333             4.82239
 11.0283             4.82234
 11.1234             4.82290
 11.2185             4.82281
 11.3136             4.82336
 11.4086             4.82323
 11.5037             4.82378
 11.5988             4.82362
 11.6938             4.82416
 11.7889             4.82397
 11.8840             4.82449
 11.9791             4.82427
 12.0741             4.82479
 12.1692             4.82454
 12.2643             4.82503
 12.3593             4.82475
 12.4544             4.82522
 12.5495             4.82490
 12.6446             4.82715
 12.7396             4.83198
 12.8347             4.84028
 12.9298             4.84932
 13.0248             4.85914
 13.1199             4.86659
 13.2150             4.87214
 13.3101             4.87347
 13.4051             4.87380
 13.5002             4.87330
 13.5953             4.87360
 13.6903             4.87305
 13.7854             4.87332
 13.8805             4.87274
 13.9756             4.87296
 14.0706             4.87235
 14.1657             4.87254
 14.2608             4.87188
 14.3559             4.87204
 14.4509             4.87135
 14.5460             4.87147
 14.6411             4.87075
 14.7361             4.87083
 14.8312             4.87008
 14.9263             4.87013
 15.0214             4.86935
 15.1164             4.86936
 15.2115             4.86856
 15.3066             4.86853
 15.4016             4.86771
 15.4967             4.86765
 15.5918             4.86681
 15.6869             4.86671
 15.7819             4.86586
 15.8770             4.86573
 15.9721             4.86486
 16.0671             4.86471
 16.1622             4.86383
 16.2573             4.86364
 16.3524             4.86275
 16.4474             4.86253
 16.5425             4.86163
 16.6376             4.86136
 16.7326             4.86045
 16.8277             4.86013
 16.9228             4.85919
 17.0179             4.85880
 17.1129             4.85781
 17.2080             4.85730
 17.3031             4.85622
 17.3982             4.85555
 17.4932             4.85431
 17.5883             4.85336
 17.6834             4.85184
 17.7784             4.85045
 17.8735             4.84846
 17.9686             4.84637
 18.0637             4.84357
 18.1587             4.84035
 18.2538             4.83621
 18.3489             4.83115
 18.4439             4.82482
 18.5390             4.81679
 18.6341             4.80685
 18.7292             4.79401
 18.8242             4.77815
 18.9193             4.75751
 19.0144             4.73197
 19.1094             4.69866
 19.2045             4.65732
 19.2996             4.60337
 19.3947             4.53619
 19.4897             4.44854
 19.5848             4.33917
 19.6799             4.19658
 19.7749             4.01848
 19.8700             3.78606
 19.9651             3.49629
 20.0602             3.11611
 20.1552             2.70192
 20.2503             2.21311
 20.3454             1.43241
 20.4405             0.07408
 20.5355            -1.80282
 20.6306            -3.94512
 20.7257            -6.20177
 20.8207            -8.41617
 20.9158           -10.46453
 21.0109           -12.19697
 21.1060           -13.51681
 21.2010           -14.33525
